Company,Country,Region,Category,Founded,Description,Funding / Stage Notes,Website (if known),Source
OceanSync,Canada,Canada,Underwater/Ocean Exploration & Inspection,,Ship-based automated weather station transferring environmental data in real time.,,,BestStartup Canada
MetOcean Telematics,"Canada (Dartmouth, NS)",Canada,Underwater/Ocean Exploration & Inspection,,"End-to-end telematics services with a MetOcean focus; manufactures Iridium satellite solutions, drifters, buoys, beacons, flashers for defence/security and ocean data.",,metocean.com,Marine Technology Directory - Canada
Ocean Sonics,"Canada (Bay of Fundy, NS)",Canada,Underwater/Ocean Exploration & Inspection,,"Designs and builds digital hydrophones, projectors, and support hardware for gathering underwater sound.",,,Marine Technology Directory - Canada
PanGeo Subsea,Canada,Canada,Underwater/Ocean Exploration & Inspection,,Marine geophysical-geotechnical services using high-resolution 3D acoustic imaging to identify seabed geohazards for offshore installations.,,,Marine Technology Directory - Canada
OceanWorks International,Canada,Canada,Underwater/Ocean Exploration & Inspection,,"Subsea systems development, engineering, manufacturing, operational and logistics support for commercial, scientific, and military clients.",,,Marine Technology Directory - Canada
Seaformatics,Canada,Canada,Underwater/Ocean Exploration & Inspection,,"Self-powered, bottom-mounted ocean sensor platform (Genesis/Memorial University spin-off ecosystem).",,,Marine Technology Directory - Canada
Lobster Robotics,Netherlands (Delft),Europe,Underwater/Ocean Exploration & Inspection,,"Autonomous underwater drones that independently survey the seabed; used for offshore wind farm inspection and, via NATO's DIANA programme, adapted for naval mine detection with the Dutch Ministry of Defence.",NATO DIANA accelerator alumnus; Dutch Navy co-development,,TU Delft / Global Venturing
Blueye Robotics,Norway (Trondheim),Europe,Underwater/Ocean Exploration & Inspection,2015,"NTNU/AMOS spin-off building accessible professional underwater ROVs (X1, X3, X7, Pro) for aquaculture, hull/dam inspection, defence, wastewater/drinking water management, and research; ~700 units sold in first commercial year, active in 60+ countries.","~$7.07M total disclosed venture funding (incl. Series A with Bessemer Venture Partners & Grieg Group, 2018)",blueyerobotics.com,robotics.press / RobotLAB / businessnorway.com
Eelume,Norway (Trondheim),Europe,Underwater/Ocean Exploration & Inspection,2015,"NTNU/SINTEF spin-off building self-propelling, flexible 'snake robot' subsea IMR vehicles (Eely500) designed to live permanently underwater for oil & gas and aquaculture inspection/maintenance.",Co-owned by Kongsberg Maritime; strategic partnership with Equinor,,Business Norway / StartUs Insights
Hydromea,Switzerland,Europe,Underwater/Ocean Exploration & Inspection,,"Underwater robotics, through-water wireless communication networks, and underwater navigation technology.",,,ensun.io
Tethys Robotics,Switzerland (Zurich),Europe,Underwater/Ocean Exploration & Inspection,,Automated inspection and assessment systems for operating in rough water conditions; partnered with SeaRenergy Offshore Holding for European subsea operations.,,tethys-robotics.ch,tethys-robotics.ch
Nautica Technologies,Switzerland (Zurich),Europe,Underwater/Ocean Exploration & Inspection,2024,"Swarms of autonomous underwater robots that continuously clean, inspect, and maintain vessel hulls, replacing reactive diver-based cleaning and antifouling coatings.","€3.4M raised, led by b2venture, with Partners in Clime, Prequel Ventures, Rethink Ventures",,EU-Startups
Notilo Plus,France,Europe,Underwater/Ocean Exploration & Inspection,,"French manufacturer of submersible ROV drones with patented autonomous uncrewed underwater system technology, distributed internationally (e.g. via edgeROV).",,,ensun.io
ecoSUB Robotics,UK,Europe,Underwater/Ocean Exploration & Inspection,,"Low-cost, advanced AUV technology across micro (500m range) and small (500m-2500m range) classes, with GUI and central command unit for network-localized navigation.",,,StartUs Insights
Nido Robotics,Spain,Europe,Underwater/Ocean Exploration & Inspection,,"Manufactures underwater ROVs (Sibiu Pro, Sibiu Nano) with full HD cameras (~2 hr endurance) for inspection, maintenance, research, and security at competitive prices.",,,StartUs Insights
UX Drones,UK,Europe,Underwater/Ocean Exploration & Inspection,,"Collaborative underwater robots with a patent-pending rotating thruster propulsion system for search & rescue; uses ML to adapt to currents and wear, and wireless comms with other drones/divers up to 100m away.",,,StartUs Insights
Deep Ocean Engineering,USA,North America,Underwater/Ocean Exploration & Inspection,,"30+ years designing/building ROVs and integrated ROV/USV solutions for scientific research, military, and offshore operations.",,,ensun.io
EyeROV (IROV Technologies),India,Asia,Underwater/Ocean Exploration & Inspection,,"Creator of India's first commercial underwater drone (EyeROV TUNA); 1,000+ hours of inspection service on dams and bridges.",,,ensun.io
Terradepth,USA,North America,Underwater/Ocean Exploration & Inspection,,Ocean data-as-a-service company operating AUVs for large-scale seabed mapping and subsea inspection.,,,StartUs Insights
Sofar Ocean Technologies,USA,North America,Underwater/Ocean Exploration & Inspection,,Ocean data and monitoring hardware/software (buoys and connected ocean sensing) for climate and maritime applications.,,,ensun.io
ACWA Robotics,France,Europe,Water/Pipe Infrastructure & Leak Detection,,"Autonomous in-pipe robots that geo-localise and run in-depth condition assessments of water supply network mains, guiding capital planning and asset renewal.",,,World Water-Tech Innovation Summit 2026
EFAS Technologies,USA,North America,Water/Pipe Infrastructure & Leak Detection,,"Developer of GAILL, an AI-powered analytics platform using existing GIS, pressure, and flow data to locate leaks and reduce non-revenue water.",,,World Water-Tech Innovation Summit 2026
Pydro,Germany,Europe,Water/Pipe Infrastructure & Leak Detection,,"Energy-harvesting IoT sensors powered by in-pipe turbines, enabling real-time, self-powered infrastructure monitoring anywhere in a pipe network.",,,World Water-Tech Innovation Summit 2026
Smart Actuation,UK,Europe,Water/Pipe Infrastructure & Leak Detection,,"Portable, battery-powered smart actuators for precise, reliable, easy-to-deploy utility and industrial water applications.",,,World Water-Tech Innovation Summit 2026
Pluvion,Germany,Europe,Water/Pipe Infrastructure & Leak Detection,,AI-driven monitoring and optimisation software for water and wastewater network management.,,,World Water-Tech Innovation Summit 2026
Waltero,Sweden,Europe,Water/Pipe Infrastructure & Leak Detection,,"Battery-powered multimodal Edge AI hardware that digitises any human interface without gateways or infrastructure, for remote monitoring.",,,World Water-Tech Innovation Summit 2026
ANB Sensors,UK,Europe,Water/Pipe Infrastructure & Leak Detection,,"World's first calibration-free, solid-state pH sensor for scalable, low-maintenance water quality monitoring across distributed networks.",,,World Water-Tech Innovation Summit 2026
Bactiquick (Molendotech),UK,Europe,Water/Pipe Infrastructure & Leak Detection,,"Real-time water quality assessment without labs, training, or specialist equipment; deployed across Europe, Iceland, Canada, and the USA.",,,World Water-Tech Innovation Summit 2026
Aquaffirm,UK,Europe,Water/Pipe Infrastructure & Leak Detection,,"Low-cost digital sensors for rapid PFAS, arsenic, and fluoride detection, integrated with the GIS-enabled AquaFORM platform for smart water monitoring.",,,World Water-Tech Innovation Summit 2026
Stormharvester,Northern Ireland (UK),Europe,Water/Pipe Infrastructure & Leak Detection,,Scale-up presenting at World Water-Tech's Innovation Power Hour; AI-based stormwater/network monitoring and optimisation for utilities.,,,World Water-Tech Innovation Summit 2026
Citylitics,USA,North America,Water/Pipe Infrastructure & Leak Detection,,"Predictive intelligence platform on local water/utility infrastructure investment, built from a database of 1bn+ documents across 31,000+ cities & utilities.",,,Wellfound - Water Startups
Ocean Oasis,Norway,Europe,Water Treatment & Desalination,,"Floating, offshore desalination system delivering fresh water with zero emissions and minimal environmental impact.",,,World Water-Tech Innovation Summit 2026
Circen Technologies,India,Asia,Water Treatment & Desalination,,"AI-enabled, compact sewage treatment solutions with flexible deployment for water re-use.",,,World Water-Tech Innovation Summit 2026
Wastewater Fuels,UK,Europe,Water Treatment & Desalination,,Converts wastewater into a clean energy resource using advanced bio-electrochemical systems.,,,World Water-Tech Innovation Summit 2026
REDstack,Netherlands,Europe,Water Treatment & Desalination,,"Engineers ultra-high performance ElectroMembrane Stacks (energy-efficient) in fully closed, liquid-tight industrial modules.",,,World Water-Tech Innovation Summit 2026
Zoi Environmental Technologies,Turkey,Europe/Middle East,Water Treatment & Desalination,,"Creator of BioGuy II, a plug-and-play bioremediation system boosting biological treatment efficiency by 100% while cutting sludge volume by up to 80%.",,,World Water-Tech Innovation Summit 2026
Pani,USA,North America,Water Treatment & Desalination,,Cloud-based ML platform improving efficiency of industrial and city-scale desalination and wastewater treatment plants.,,,Wellfound - Water Startups
Puraffinity,UK,Europe,Water Treatment & Desalination,,Scale-up featured at World Water-Tech's Innovation Power Hour; materials-based technology for PFAS/contaminant removal from water.,,,World Water-Tech Innovation Summit 2026
Mantisonix,UK,Europe,Water Treatment & Desalination,,"Sonolysis technology using ultrasound irradiation (no chemicals/catalyst) for sustainable destruction of PFAS, including high-salinity, high-concentration streams.",,,World Water-Tech Innovation Summit 2026
METZero,UK,Europe,Water Treatment & Desalination,,"Uses naturally occurring electrogenic bacteria to digest organic waste anaerobically, eliminating the need for energy-intensive aeration.",,,World Water-Tech Innovation Summit 2026
Emulsion Flow Technologies,Japan,Asia,Water Treatment & Desalination,,National-lab spin-off commercialising advanced solvent extraction research via high-precision separation and purification systems.,,,World Water-Tech Innovation Summit 2026
Biota,USA,North America,Water Treatment & Desalination,,"Real-time PFAS test for utilities to source-track PFAS, identify primary polluters, and shift cleanup costs to those accountable.",,,World Water-Tech Innovation Summit 2026 (earlier cohort)
VODA.AI,USA,North America,Water Treatment & Desalination,,AI/data platform for water utilities; featured at World Water-Tech's Innovation Power Hour discussing fundraising and commercialisation path.,,,World Water-Tech Innovation Summit 2026
Shayp,Belgium,Europe,Water Treatment & Desalination,,Water-tech scale-up featured at World Water-Tech's Innovation Power Hour (leak/consumption monitoring focus).,,,World Water-Tech Innovation Summit 2026
Aquaai,USA (San Diego),North America,Aquaculture & Environmental Monitoring,2014,"Biomimetic, 3D-printed (SLS) robotic fish - autonomous underwater vehicle carrying 12 sensors - swims alongside stock to monitor temperature, oxygen, water quality, and pH; deployed with Norway's Kvaroy Fiskeoppdrett salmon farm.",$500K institutional investment from Boost VC's Adam Draper; EU Seal of Excellence,,Trellis / IntraFish / Responsible Seafood Advocate
Aquabyte,USA (San Francisco) / Norway (Bergen),North America / Europe,Aquaculture & Environmental Monitoring,,Camera-based machine-learning system (adapted from self-driving-car computer vision) to measure fish size/weight and count sea lice.,,,Responsible Seafood Advocate
Probotic,Norway,Europe,Aquaculture & Environmental Monitoring,,"Autonomous robotic 'Probots' that continuously clean and inspect salmon pen nets, working like an underwater robotic vacuum; also testing camera-based net damage inspection.",,,Responsible Seafood Advocate
Remora Robotics,Norway (Stavanger),Europe,Aquaculture & Environmental Monitoring,,"Autonomous net-cleaning robot preventing biofouling of fish farm netting to improve fish health, wellbeing, and quality.",kr30M (~€2.5M) from Grieg Kapital and Momentum (2023),,The Fish Site
Aqua Robotics,Norway,Europe,Aquaculture & Environmental Monitoring,,Developer of the HALO system: fully automated net-cleaning robot that gently and continuously brushes both sides of cage nets to prevent fouling and reduce power-washing/biocide use; already in operation at several of Norway's largest fish farms.,,aquarobotics.no,Business Norway / aquarobotics.no
Njord Aqua,Norway,Europe,Aquaculture & Environmental Monitoring,,Norwegian company developing net-cleaning/inspection robotics for aquaculture pens.,,,Responsible Seafood Advocate
Watbots,Norway,Europe,Aquaculture & Environmental Monitoring,,Norwegian company developing net-cleaning/inspection robotics for aquaculture pens.,,,Responsible Seafood Advocate
Stingray Marine Solutions,Norway,Europe,Aquaculture & Environmental Monitoring,,"Underwater drone with cameras and surgical diode lasers that detects and kills sea lice in about 100 milliseconds, reducing infestations with minimal human intervention.",,,AZoLifeSciences
SINTEF Ocean (ARTIFEX project),Norway (Trondheim),Europe,Aquaculture & Environmental Monitoring,,"Scandinavia's largest independent research org; developing a USV platform carrying an ROV plus an airborne RPAS for remote fish-farm inspection, maintenance, and repair.",Research project (ARTIFEX),,Responsible Seafood Advocate
SeaDrone (O-Robotix),USA,North America,Aquaculture & Environmental Monitoring,,"Low-cost, self-stabilizing underwater drone for inspecting and maintaining subsea aquaculture infrastructure, positioning, and fish health assessment.",TechCrunch Start-Up Battlefield NY debut,,Aquaculture North America
Apium,USA,North America,Aquaculture & Environmental Monitoring,,"Builds swarms of ocean drones to map currents, temperature, dissolved oxygen, and salinity for fish farms.",,,SeafoodSource
Realtime Aquaculture,Canada,Canada,Aquaculture & Environmental Monitoring,,"Wireless underwater sensor network delivering real-time open-water fish-farm data (temperature, oxygen) to a smartphone or browser, cable-free, installed in under 5 minutes.",,,Responsible Seafood Advocate
Poseidon Ocean Systems,Canada,Canada,Aquaculture & Environmental Monitoring,,Engineering company offering technical solutions for the marine and aquaculture industries.,,,BestStartup Canada
Aquatic Informatics,Canada,Canada,Aquaculture & Environmental Monitoring,,Software solutions for critical water data management and analysis (hydrometric/environmental monitoring).,,,BestStartup Canada
OnDeck Fisheries AI,Canada (BC),Canada,Aquaculture & Environmental Monitoring,,Uses artificial intelligence to enhance fisheries monitoring and sustainability.,2025 Ocean Challenge: Boost recipient,,Ocean Startup Project
Rising Tide BioAcoustics,Canada (Nova Scotia),Canada,Aquaculture & Environmental Monitoring,,Proprietary underwater acoustic speakers to mitigate noise pollution and protect marine life.,2025 Ocean Challenge: Boost recipient,,Ocean Startup Project
Atlantic Echo Solutions,Canada (Newfoundland & Labrador),Canada,Aquaculture & Environmental Monitoring,,Acoustic methods to remotely measure sound speed profiles in the ocean.,2025 Ocean Challenge: Boost recipient,,Ocean Startup Project
Integrative Nanotech,Canada (Nova Scotia),Canada,Aquaculture & Environmental Monitoring,,Next-generation nanotechnology for marine sensing applications.,2025 Ocean Challenge: Boost recipient,,Ocean Startup Project
Lir Labs,N/A,N/A,Aquaculture & Environmental Monitoring,,Develops visual intelligence and automation software for the water and wastewater industry.,"1-10 employees, actively hiring",,Wellfound - Water Startups
