Name,Country,Founded,Employees (approx.),Website,Technology / Focus,Description,Notes (funding / status)
Qruise,Germany,2021,,https://qruise.com,QUANTUM - Quantum computing,Design and verification of quantum systems,
Semify,Germany,2021,,https://semify-eda.com,EDA - Design automation tools,FPGA based platforms,
Semron,Germany,2020,,https://semron.ai,AI - AI hardware,AI processing,
Siliconally,Germany,2019,,https://siliconally.com,NETWORKING - Various connectivity pieces,Safe Ethernet IP,
Simbricks,Germany,2024,,https://simbricks.io,EDA - Design automation tools,Heterogeneous hardware design and verification platform,
SpiNNcloud,Germany,2021,~50,https://spinncloud.com,AI - AI hardware,Dynamic sparsity based inference engine,SpiNNaker2 neuromorphic supercomputer; TU Dresden
Ubitium,Germany,2024,,https://ubitium.com,AI - AI hardware,Universal processor,
Andapt,Ireland,2014,,https://andapt.com,ANALOG - All things analog,Programmable power management ICs,
Equal1,Ireland,2017,~45,https://equal1.com,QUANTUM - Quantum computing,Silicon spin qubits for scalable quantum computing,~$90M; CMOS silicon spin-qubit quantum SoC
Cyrillic,Italy,2024,,https://cyrillic.tech,AI - AI hardware,Perception system for physical AI,
MZ Technologies,Italy,2014,,https://genioevo.com,EDA - Design automation tools,EDA solutions for advanced packaging,
Axelera,Netherlands,2021,,https://axelera.ai,AI - AI hardware,Low power AI edge processors,
Innatera,Netherlands,2018,~75,https://innatera.com,AI - AI hardware,Neuromorphic processors,~$27M; first mass-market neuromorphic MCU (Pulsar)
Qualinx,Netherlands,2015,,https://qualinx.io,RF - Wireless,IoT GNSS based tracking and connectivity,
Rapid Photonics,Netherlands,2022,,https://rapidphotonics.com,MFG - Manufacturing related,Photonic IC production,
Spherical,Netherlands,2022,,https://Spherical-systems.com,SPACE - Space technology,Satellite power & control with in-house silicon design,
Ascenium,Norway,2019,,https://ascenium.com,HPC - High performance computing,General purpose accelerator,
Nanopower,Norway,2017,,https://nanopowersemi.com,ANALOG - All things analog,Smart power management ICs,
Novelda,Norway,2004,,https://novelda.com,RF - Wireless,Wireless wideband for high resolution impulse radar,
OniO,Norway,2019,,https://onio.com,RF - Wireless,Wireless micro controller,
CircuitLeap.ai,Portugal,2024,,https://circuitleap.ai,EDA - Design automation tools,Automated analog design with GPU and AI,
Amsimcel,Romania,2018,,https://amsimcel.com,EDA - Design automation tools,GPU powered physical verification,
Ipronics,Spain,2019,,https://ipronics.com,PHOTONICS - Photonic based startups,Programmable photonics products,
RaiderChip,Spain,2024,,https://raiderchip.ai,AI - AI hardware,AI hardware,
Semidynamics,Spain,2016,~120,https://semidynamics.com,RISC-V - RISC-V based startups,High performance RISC-V IP cores,European leader in high-performance RISC-V IP
Argus Space,Switzerland,2024,,https://argus-space.ch,RF - Wireless,Satcomm telecommunications and radar,
Chipmind,Switzerland,2024,,https://chipmind.ai,EDA - Design automation tools,Agentic chip design,
Kandou,Switzerland,2011,n/a,https://kandou.com,NETWORKING - Various connectivity pieces,Chip-to-chip connectivity solutions,~$550M; $225M Series A from SoftBank et al. (2026)
Lightium,Switzerland,2023,,https://lightium.co,MFG - Manufacturing related,Photonics foundry,
Mosaic SoC,Switzerland,2024,,https://mosaic-soc.com/,ASIC - Custom silicon,Specialized chips designed for AR glasses,
Synthara,Switzerland,2020,,https://synthara.ai,AI - AI hardware,In memory computation chips for AI,
Accelercom,United Kingdom,2016,,https://accelercomm.com,RF - Wireless,5G physical layer for high-performance networks,
Agile Analog,United Kingdom,2017,,https://agileanalog.com,EDA - Design automation tools,Automating design of analog circuitry,
Blueshift Memory,United Kingdom,2016,,https://blueshiftmemory.com,MEMORY - Memory,High performance memory centric architecture,
Chipflow,United Kingdom,2021,,https://chipflow.io,ASIC - Custom silicon,ASIC design platform,
Circuit Mind,United Kingdom,2018,,https://circuitmind.io,EDA - Design automation tools,PCB design tools,
Finchetto,United Kingdom,2020,,https://finchetto.com,PHOTONICS - Photonic based startups,Photonic sensors for quantum computing,
Forefrontrf,United Kingdom,2020,,https://forefrontrf.com,RF - Wireless,Wireless communication devices,
Fractile,United Kingdom,2022,~30,https://fractile.ai,AI - AI hardware,AI accelerator for LLMs,~GBP15M seed; emerged from stealth 2024
Heronic,United Kingdom,2024,,https://heronic.ai,EDA - Design automation tools,Automated generation of bespoke AI accelerators,
HyperCIM,United Kingdom,2023,,https://hypercim.com,AI - AI hardware,Optimized compute in memory architecture,
Light Trace Photonics,United Kingdom,2021,,https://ltphotonics.co.uk,PHOTONICS - Photonic based startups,Platform for rapid photonic product development,
Literal Labs,United Kingdom,2023,,https://Literal-labs.ai,AI - AI hardware,Explainable AI using Tsetlin machines,
Lumai,United Kingdom,2021,,https://luma.ai,PHOTONICS - Photonic based startups,3D optical computing,
Mintneuro,United Kingdom,2015,,https://mintneuro.com,HEALTH - Health centric devices,Neural implants,
Olix,United Kingdom,2024,,https://olix.com,AI - AI hardware,Optical tensor processing unit,
Optalysys,United Kingdom,2013,,https://optalysys.com,PHOTONICS - Photonic based startups,Optical computing next-gen cryptography,
Oxford Quantum Circuits,United Kingdom,2017,,https://oxfordquantumcircuits.com,QUANTUM - Quantum computing,Quantum computing platform,
Picocom,United Kingdom,2019,,https://picocom.com,RF - Wireless,Semiconductor products for 5G infrastructure,
PQShield,United Kingdom,2018,,https://pqshield.com,QUANTUM - Quantum computing,Post-quantum Cryptography Co-processor,
Pragmatic Semiconductor,United Kingdom,2010,~340,https://pragmaticsemi.com,MFG - Manufacturing related,Manufacturer of low-cost flexible integrated circuits,~$390M; record GBP182M Series D (2023)
Quantum Motion,United Kingdom,2017,,https://quantummmotion.tech,QUANTUM - Quantum computing,Scalable quantum computer architectural technology,
RED Semiconductor,United Kingdom,2021,,https://redsemiconductor.com,HPC - High performance computing,Processor technology,
Riverlane,United Kingdom,2016,,https://riverlane.com,QUANTUM - Quantum computing,Quantum error correction,
Salience Labs,United Kingdom,2020,,https://saliencelabs.ai,PHOTONICS - Photonic based startups,Photonic computing platform,
Secqai,United Kingdom,2021,,https://secqai.com,QUANTUM - Quantum computing,Quantum hardware,
Singular Photonics,United Kingdom,2024,,https://singularphotonics.com,SENSORS - Sensing devices,High performance camera modules,
Trameto,United Kingdom,2016,,https://trameto.com,ANALOG - All things analog,Energy harvesting PMICs,
Vaire Computing,United Kingdom,2021,,https://vaire.co,ANALOG - All things analog,Near zero energy computing,
Vector Photonics,United Kingdom,2020,,https://vectorphotonics.co.uk,PHOTONICS - Photonic based startups,Semiconductor lasers,
VyperCore,United Kingdom,2022,,https://vypercore.com,RISC-V - RISC-V based startups,RISC-V processors,
Wave Photonics,United Kingdom,2021,,https://wavephotonics.com,PHOTONICS - Photonic based startups,Photonics design platform,
Zero Point Motion,United Kingdom,2020,,https://zeropointmotion.com,MEMS - MEMS based technology,Photonics/MEMS motion sensors,
