Company,Country,HQ City,Founded,Segment,Description,Website
Anywaves,France,Toulouse,,Components,Antennas for small sats,anywaves.com
U-Space,France,Toulouse,,Satellite Manufacturing,Small satellite platforms,u-space.fr
Argotec,Italy,Turin,2008,Satellite Manufacturing,"Microsatellites (LICIACube, ArgoMoon); ANDROMEDA lunar comms",argotecgroup.com
D-Orbit,Italy,Fino Mornasco (Como),2011,In-Space Services,ION orbital transfer vehicle; >20 missions flown,dorbit.space
Tyvak International,Italy,Turin,,Satellite Manufacturing,Smallsats,
Sitael,Italy,Mola di Bari,,Satellite Manufacturing,"Small-sat platforms, electric propulsion",sitael.com
OHB Italia,Italy,Milan/Rome,,Satellite Manufacturing,OHB subsidiary,
Thales Alenia Space,France/Italy,Cannes + Rome,,Prime,Major satellite prime; >8k staff,
Airbus Defence & Space,Multi,Toulouse + Friedrichshafen + Stevenage,,Prime,Major satellite/launch prime,
OHB SE,Germany,Bremen,,Prime,Major prime + many subsidiaries,
Mynaric,Germany,Gilching,2009,Components,Laser/optical inter-satellite comms; in restructuring 2025 - CAUTION,
Tesat-Spacecom,Germany,Backnang,,Components,Optical comms terminals (Airbus subsidiary),tesat.de
Beyond Gravity,Switzerland,Zurich,,Components,Formerly RUAG Space; major structures supplier,beyondgravity.com
Swissto12,Switzerland,Renens,,Satellite Manufacturing,HummingSat small GEO platform; 3D-printed RF,swissto12.com
C3S Electronics Development,Hungary,Budapest,2012,Components,"CubeSat platforms, OBCs, EPS; PLATO/SMILE contributors",c3s.hu
REMRED,Hungary,Budapest,,Components,Radiation instruments; co-building REMTECH sat factory,
Admatis,Hungary,Miskolc,,Components,Thermal & structural hardware for 10+ ESA missions,
4iG Space and Defence Technologies,Hungary,Budapest,,Satcom,Satellite operator (Axiom Space partner),
Frentech Aerospace,Czech Republic,Brno,,Components,Precision mechanisms,
S.A.B. Aerospace,Czech Republic,Brno,,Components,Vega-C VAMPIRE adapter; payload dispensers,
Spacemanic,Czech Republic/Slovakia,Brno,,Satellite Manufacturing,CubeSat platforms,
OHB Czechspace,Czech Republic,Brno,,Satellite Manufacturing,OHB subsidiary,
Space Inventor,Denmark,Aalborg,,Satellite Manufacturing,Micro-sat manufacturing,
Satlab,Denmark,Aalborg,,Components,Radios and ground equipment for smallsats,
Sternula,Denmark,Aalborg,,Satcom,VDES maritime nanosat operator,
Terma,Denmark,Lystrup,,Components,"Space avionics, ground EGSE",
Rovsing,Denmark,Copenhagen,,Ground Systems,Satellite ground test equipment,
Cobham Satcom,Denmark,Lyngby,,Satcom,Satellite terminals,
Réaltra Space Systems Engineering,Ireland,Dublin,2017,Components,Ariane 6 telemetry/video systems,realtra.space
InnaLabs,Ireland,Dublin,,Components,High-performance gyroscopes (ESA Ramses/Apophis),
EireComposites,Ireland,Galway,,Components,Composite spacecraft structures,
Enbio,Ireland,Dublin,,Components,Thermal coatings (flew on Solar Orbiter),
Pilot Photonics,Ireland,Dublin,,Components,Photonic ICs for satcom,
Arralis,Ireland,Limerick,,Components,RF/mmWave components,
Mbryonics,Ireland,Galway,2014,Components,Photonic optical satcom terminals; €17.5M EIC,mbryonics.com
Varadis,Ireland,Cork,,Components,RADFET radiation sensors; on ISS and Artemis,
Active Space Technologies,Portugal,Coimbra,,Components,High-precision mechanisms; thermal hardware,
LusoSpace,Portugal,Lisbon,,Components,"Magnetic torquers, magnetometers, ADCS",
Spin.Works,Portugal,Lisbon,,Components,"GNC, computer vision, autonomous systems",
Tekever Space,Portugal,Lisbon,,Earth Observation,Maritime surveillance + UAVs; lead of ASTRIIS,
CEiiA,Portugal,Matosinhos,,Satellite Manufacturing,N3O smallsat platform,
Evoleo,Portugal,,,Components,"Onboard computers, power subsystems",
Edisoft,Portugal,Lisbon,,Ground Systems,Defence/space systems integration,
Eptune Engineering,Portugal,,,Components,Space & wind hardware,
NPC Spacemind,Italy,Bologna,,Satellite Manufacturing,CubeSat platforms,
AVS - Added Value Solutions,Spain,Elgoibar,,Components,Big Science & space equipment,
Alén Space,Spain,Vigo,,Satellite Manufacturing,End-to-end nanosatellite solutions,alen.space
FOSSA Systems,Spain,Madrid,,Satellite Manufacturing,Pico-satellite IoT constellation,
DHV Technology,Spain,Málaga,,Components,Solar panels for smallsats,dhvtechnology.com
Hispasat,Spain,Madrid,,Satcom,GEO operator,
Hisdesat,Spain,Madrid,,Satcom,Military comms,
Indra Space,Spain,Madrid,,Ground Systems,"Ground systems, GNSS, SST",
Sidereus Space Dynamics,Italy,Naples,,Launch,Small reusable launcher EOS,sidereus.space
GAUSS Srl,Italy,Rome,,Satellite Manufacturing,Nanosatellites,
Apogeo Space,Italy,Milan,,Satcom/IoT,IoT nano-sat constellation,
Decen Space,Germany,,,Ground Systems,Decentralised infrastructure for satellite ops,
TTTech Aerospace,Austria,Vienna,,Components,"Deterministic networks for Orion, Lunar Gateway, Ariane 6",
Peak Technology,Austria,Holzhausen,,Components,Composite tanks/pressure vessels for launchers,
TEST-FUCHS,Austria,,,Components,Valves and fluid systems for Ariane 6,
OHB Austria,Austria,Graz,,Components,"Onboard computers, payload electronics",
Eidsvoll Electronics (EIDEL),Norway,Eidsvoll,,Components,Telemetry; payload electronics (MicroSAR),
IDEAS,Norway,Oslo,,Components,Radiation detector ASICs,
Eutelsat OneWeb,France/UK,Paris/London,,Satcom,LEO broadband mega-constellation (~600+ sats),
SES,Luxembourg,Betzdorf,,Satcom,GEO/MEO operator (O3b mPOWER),
Inmarsat (ViaSat),UK,London,,Satcom,Mobile satellite services,
OQ Technology,Luxembourg,Leudelange,2016,Satcom/IoT,NB-IoT direct-to-device; €25M EIB venture debt,oqtec.space
Hiber,Netherlands,Amsterdam,,Satcom/IoT,IoT satellite network; €26M EIC backing,hiber.global
Kineis,France,Toulouse,,Satcom/IoT,IoT nano-sat constellation (Argos heritage),
Lacuna Space,UK,Harwell,,Satcom/IoT,LoRa-based IoT from space,lacuna.space
Cailabs,France,Rennes,,Components,Laser/optical ground stations; ESA contract,
Archangel Lightworks,UK,Oxford,,Components,Ultra-high-performance optical comms terminals,
Stellar Project,Italy,Padua,,Components,Laser comms terminals,
All.Space,UK,Reading,,Satcom,Multi-orbit smart terminals (formerly Isotropic Systems),
Gatehouse Satcom,Denmark,Nørresundby,,Satcom,Satcom software; 5G NTN test,
Methera Global,UK,,,Satcom,Ka-band MEO/HEO constellation,
Stratospheric Platforms,UK,Cambridge,,Satcom,HAPS (adjacent to space),
Telespazio,Italy,Rome,,Ground Systems,"Services, in-orbit servicing (Leonardo subsidiary)",
Avanti Communications,UK,London,,Satcom,Ka-band GEO operator,
TerraSpark,Belgium,,2024,Space-based Solar,Wireless energy transmission; €5M raised 2026,terraspark.eu
Stellar Nuclear,Czech Republic,,,Power,Nuclear-power systems for space,
ClearSpace,Switzerland,Lausanne,2018,Debris Removal,€86M ESA ClearSpace-1 contract; UK CLEAR mission,clearspace.today
Astroscale UK,UK,Harwell,,Debris Removal,ELSA-d demo completed; ESA/UK/US partners,astroscale.com
The Exploration Company,Germany/France,Munich + Bordeaux,2021,In-Space Services,"Nyx modular reusable spaceship; refuelable in orbit; $160M Series B 2024, ~$230M total",exploration.space
Infinite Orbits,France,Toulouse,2017,In-Space Services,Autonomous nanosat for GEO life extension/inspection,
ATMOS Space Cargo,Germany,Stuttgart,,In-Space Services,Orbital re-entry vehicles (PHOENIX 2/3); €25.7M Series A,
Yuri,Germany,Meckenbeuren,2019,In-Space Manufacturing,Microgravity research/manufacturing services (ScienceTaxi),yurigravity.com
Space Forge,UK,Cardiff,2018,In-Space Manufacturing,ForgeStar reusable in-space manufacturing satellite,spaceforge.com
Frontier Space,UK,,,In-Space Manufacturing,In-space bioprocessing platform,
Neuraspace,Portugal,Coimbra,2020,SSA/STM,AI space traffic management,neuraspace.com
Spaceflux,UK,,,SSA,SSA optical sensor network; UKRI funded,
Vyoma,Germany,Darmstadt,,SSA/STM,Space situational awareness & STM,
Look Up Space,France,Paris,,SSA,Radar-based SSA,
RISE (Romanian InSpace Engineering),Romania,,,In-Space Services,Close-proximity operations,
SAGA Space Architects,Denmark,Copenhagen,,Habitat,Habitat architecture (ESA Lunar Remote Camp),
KSAT (Kongsberg Satellite Services),Norway,Tromsø,,Ground Stations,Global polar ground-station network,ksat.no
Leaf Space,Italy,Lomazzo (Como),,Ground Stations,Ground-station-as-a-service; expanding Leaf Line Kirkwall,leaf.space
Goonhilly Earth Station,UK,Cornwall,,Ground Stations,Deep-space and commercial ground station,goonhilly.org
SSC (Swedish Space Corporation),Sweden,Solna,,Ground Stations,"Major ground services, Esrange spaceport",sscspace.com
Space Applications Services,Belgium,Sint-Stevens-Woluwe,,Ground Systems,Yamcs MCS; ground segment,
Bright Ascension,UK,Dundee,,Ground Systems,Flight software; mission ops,
HITEC Luxembourg,Luxembourg,,,Ground Stations,Antenna systems & ground stations,
Polar Orbital,Finland,,,Ground Stations,Satellite ground station systems (ESA BIC 2026),
ispace EUROPE,Luxembourg,Luxembourg City,,Lunar,TENACIOUS rover (first European rover to Moon); MAGPIE ESA,ispace-inc.com
Puli Space Technologies,Hungary,Budapest,2010,Lunar,Lunar rover; water-detection payloads,
Maana Electric,Luxembourg,Foetz,,Lunar/ISRU,In-situ resource utilisation (regolith → solar panels),
Space Cargo Unlimited,Luxembourg,,,In-Space Manufacturing,In-orbit microgravity biotech,
iSEE,Austria,,,Exploration,Smallsat exploration missions,
Space DOTS,UK,London,,In-Space Manufacturing,In-space material testing CubeSats,
Septentrio,Belgium,Leuven,,GNSS,High-accuracy GNSS receivers,septentrio.com
u-blox,Switzerland,Thalwil,,GNSS,GNSS modules,
FocalPoint Positioning,UK,Cambridge,,GNSS,Software-based GNSS resilience,
Skudo,Estonia,Tallinn,,Cybersecurity,Satellite-comms cybersecurity,
SKYA,Finland,Espoo,,GNSS,Precision navigation for drones (ESA BIC 2026),
Space Solar,UK,Harwell,,Space-based Solar,CASSIOPeiA SBSP architecture; demonstrated 360° beaming,spacesolar.co.uk
